Index,"Major area, region, country or area",Note,Country Code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015,2015-2020,2020-2025,2025-2030,2030-2035,2035-2040,2040-2045,2045-2050
130,Saudi Arabia,,682,3.96,3.70,4.31,4.55,3.63,2.42,1.96,1.06,0.54,0.30,0.28,0.27,0.25,0.23,0.22,0.20,0.18,0.17,0.16,0.15
131,Syrian Arab Republic,,760,1.20,1.17,1.67,1.60,0.78,0.72,0.50,0.43,0.47,0.72,0.69,0.69,0.70,0.70,0.68,0.66,0.62,0.58,0.55,0.52
132,Turkey,,792,2.84,1.97,1.65,2.21,1.68,1.03,3.61,2.42,0.96,0.83,0.92,0.85,0.74,0.62,0.51,0.42,0.33,0.27,0.25,0.24
133,United Arab Emirates,,784,3.39,2.59,1.12,0.53,0,0.23,-0.23,-0.19,-0.19,0.48,0.50,0.43,0.35,0.28,0.23,0.18,0.14,0.13,0.12,0.12
134,Yemen,,887,4.54,4.47,3.84,3.75,2.20,2.16,2.11,2.61,2.54,2.01,1.94,1.84,1.73,1.61,1.48,1.34,1.21,1.15,1.09,1.03
135,EUROPE,,908,1.05,1.04,1.02,0.91,0.74,0.62,0.40,0.33,0.15,0.11,0.23,0.27,0.26,0.28,0.30,0.32,0.33,0.32,0.31,0.29
136,Eastern Europe,,923,2.23,1.91,1.57,1.38,1.29,1.10,0.74,0.53,0.05,0.02,0.08,0.12,0.14,0.20,0.26,0.32,0.37,0.39,0.38,0.36
137,Belarus,,112,1.90,2.32,3.25,2.87,2.80,2.20,1.80,1.30,0.58,0.59,0.67,0.62,0.54,0.46,0.39,0.33,0.27,0.23,0.22,0.21
138,Bulgaria,,100,3.10,2.82,4.19,2.67,1.92,1.52,0.79,0.55,0.42,0.33,0.48,0.48,0.45,0.42,0.38,0.35,0.32,0.28,0.27,0.25
139,Czech Republic,,203,0.97,0.92,0.81,0.76,1.64,1.45,0.05,-0.04,-0.15,-0.18,-0.10,-0.09,-0.07,0.02,0.12,0.21,0.30,0.35,0.34,0.32
140,Hungary,,348,0.53,0.54,0.74,0.71,0.69,0.62,0.28,0.23,-0.19,-0.20,0.54,0.74,0.68,0.59,0.51,0.44,0.37,0.31,0.29,0.27
141,Poland,,616,2.39,2.06,0.91,0.78,1.18,0.99,0.63,0.44,0.07,0.07,-0.09,-0.18,-0.12,0.06,0.23,0.39,0.52,0.60,0.57,0.54
142,Republic of Moldova,12,498,2.21,2.51,3.26,3.03,2.44,2.18,1.79,1.14,-0.20,-0.21,-0.22,-0.19,0.05,0.31,0.57,0.79,0.97,0.96,0.91,0.86
143,Romania,,642,3.56,2.22,1.94,1.34,1.21,1.46,1.49,1.39,0.21,-0.29,0.06,0.24,0.27,0.38,0.49,0.58,0.65,0.68,0.65,0.62
144,Russian Federation,,643,2.09,1.86,1.59,1.43,1.23,0.98,0.61,0.40,-0.01,-0.01,0.03,0.06,0.09,0.15,0.21,0.26,0.30,0.32,0.30,0.29
145,Slovakia,,703,1.10,1.08,2.03,2.06,2.39,2.20,0.96,0.84,0.02,-0.11,-0.24,-0.32,-0.40,-0.13,0.14,0.41,0.65,0.79,0.76,0.72
146,Ukraine,,804,3.06,2.46,1.58,1.59,1.26,1.10,0.95,0.63,0.06,0.06,0.19,0.26,0.29,0.33,0.36,0.38,0.39,0.37,0.35,0.33
